fighter_id,name,elo,fight_count
2747c60e42d9d75f,David Teymur,1062.6374293826111,6
1dc56b59cb28425d,Oleg Taktarov,1062.5292805673087,9
16690d100f995f8f,Omari Akhmedov,1062.5201697591867,15
e0c6edcb5b5d0b90,Chepe Mariscal,1062.1037013108032,6
e132d47bd9efbbe0,Rafa Garcia,1061.9382870746258,11
e4277e87a789d687,Dustin Jacoby,1061.8545264788731,17
4144798612ef96e5,Edmen Shahbazyan,1061.6784371395654,14
99bcdf5eac39898f,Jordan Johnson,1061.6210641988714,4
327d5f279895110d,Roman Dolidze,1061.1064238307597,14
fd406a32a6fb3a29,Chris Duncan,1061.0234924627237,8
78114b7199cef90c,Urijah Faber,1060.9822213942514,18
a67d071163962af8,Michael Page,1060.5249799158516,5
3a46b268013afede,Kevin Holland,1060.3393267269519,29
cfb65863d5099327,Thales Leites,1060.0978588410583,21
fd55393021a8c255,Gunnar Nelson,1059.933144990267,16
13a0275fa13c4d26,Jared Cannonier,1059.9081393915665,20
6fd953151d981979,JJ Aldrich,1059.8698361738798,17
b1f21ce050035d58,Andre Lima,1059.7671893546483,4
68d4a891e5cf2029,Tracy Cortez,1059.6328059766413,8
4c7781da8c6cae93,Ryan LaFlare,1059.433886522594,10
ab943cd2c3c17825,Marcos Rogerio de Lima,1059.3053676570482,18
a7b48e18ca27795d,Mark Kerr,1059.1261998202867,4
b4b496ec2197ee3e,Navajo Stirling,1059.0824160019222,4
0941df56f6ac954b,Johny Hendricks,1058.8689861547175,21
5078e1dacf9d25f4,Luana Santos,1058.8293749198087,6
b07aed698fba8624,Ikram Aliskerov,1058.794413193504,5
35673bf5204524ee,Bo Nickal,1058.6408488701552,6
5f87a5c00b3d17ed,Dennis Siver,1058.5194995955642,21
ee779c43a8926d52,Rashad Evans,1058.4285490127809,23
06626b6287e1ae1e,Chris Padilla,1058.3735861553555,5
f00ac08ab056af5d,Tagir Ulanbekov,1058.3498970021383,8
5987b2458f4b5290,Ricky Simon,1058.0967373346705,17
236a37d96d476164,Mike Pierce,1058.0314968915102,14
1eacf73d6a0055dc,Cheick Kongo,1057.6227508405143,18
3d6749c4267da18f,Joanna Jedrzejczyk,1057.4317718358348,15
e3964ece586e0635,Jacqueline Cavalcanti,1057.4310865965604,6
8ddf9c51c5fdea75,Rousimar Palhares,1057.4010469454174,12
8b1ed83b02303075,Taylor Lapilus,1057.3674847675145,8
3a8176e15b9887c1,Chris Weidman,1057.3257276945617,20
1d00756835ca67c9,Donald Cerrone,1057.1296017257664,38
de75d1c45a39e221,Sergio Pettis,1056.8785181437197,14
f29a6350c69f4a33,Miranda Maverick,1056.8492857317146,12
06734ca9d88dec3a,Shara Magomedov,1056.6646094137652,6
c9cf753cfdf77fc2,Marcin Tybura,1056.65807973545,24
8bdac25ce0bb874d,Ronda Rousey,1056.564115108861,8
9d19d9e4aa2662e8,Nicolas Dalby,1056.3359773518991,15
8adcbd525fab8d9b,Elizeu Zaleski dos Santos,1056.2162243074629,18
b44f39a5c6596953,Pedro Rizzo,1056.1683910172153,14
c0badf3243907e59,Alexandr Romanov,1056.1196094296051,10
ed9d8ee3a4239b1c,Sage Northcutt,1055.8465902381552,8
52cae54377b433b7,Nate Quarry,1055.7711252202212,10
91ea901c458e95dd,Jared Rosholt,1055.620009339814,8
e5010b1b94ca5755,Paul Felder,1055.5496207367428,15
ffc088e64fab57e9,Quinton Jackson,1055.3202253027534,13
e2f6b2769aaedd6c,Serghei Spivac,1055.0238902091132,15
1af1170ed937cba7,Kayla Harrison,1054.5919317658577,3
519e4fe37ce9ff75,Drew Dober,1054.2942342227675,27
04835018f90b118c,Casey O'Neill,1054.2271518877462,8
1091d4d957141094,Nikita Krylov,1054.0176914801596,21
18d01f7f8338ae72,Vinicius Oliveira,1054.0125548749184,5
daf1b84aebd6602b,Roger Huerta,1053.7675922727612,8
6d1bffff14897645,Santiago Ponzinibbio,1053.7066230683265,20
7c7332319c14094c,Marlon Vera,1053.5833904173894,26
a495f599e787614f,Alonzo Menifield,1053.1301677263075,17
9fe85152f351e737,Mike Swick,1053.099447342627,15
c451d67c09c55418,Chan Sung Jung,1053.0916536523641,12
dea070ed4a2a8281,Thiago Santos,1053.0805518289053,24
2cd428e9606856fd,Jairzinho Rozenstruik,1053.0150058181046,15
749f572d1d3161fb,Khalil Rountree Jr.,1053.0088127746053,18
82e7929bf6c2b689,Diego Sanchez,1052.4700260280822,32
955da1675ad58a50,Josh Hokit,1052.4350158075126,3
d023ae89a2a4a41e,Matthew Riddle,1052.1852249780163,12
